%eval_id interface             x1         banana       obj_fn_1       obj_fn_2 
91           NO_ID    2.556793498     4.36308005      -0.101849      -0.101849 
92           NO_ID    2.647481788    4.715539688      -0.111457      -0.111457 
93           NO_ID    2.671668992    3.604648283      -0.114091      -0.114091 
94           NO_ID      2.6773067    3.043967004      -0.114709      -0.114709 
95           NO_ID     2.68020278    2.338624109      -0.115027      -0.115027 
96           NO_ID    2.709209213    4.667925669      -0.118238      -0.118238 
97           NO_ID    2.766340004    2.978689233      -0.124688      -0.124688 
98           NO_ID    2.786642394    4.162847692       -0.12702       -0.12702 
99           NO_ID    2.826206595    4.095671595      -0.131625      -0.131625 
100          NO_ID    2.835365321    4.510690615      -0.132705      -0.132705 
101          NO_ID   -1.709008215    2.583642035      -0.112036      -0.112036 
102          NO_ID     -1.6901984    3.867371231      -0.110008      -0.110008 
103          NO_ID     -1.6901984     4.36308005      -0.110008      -0.110008 
104          NO_ID   -1.437465316    3.322289238     -0.0844998     -0.0844998 
105          NO_ID   -1.418197758    2.570987887      -0.082687      -0.082687 
106          NO_ID   -1.402776509    3.660032518     -0.0812497     -0.0812497 
107          NO_ID  -0.8112099975    2.486772623     -0.0350882     -0.0350882 
108          NO_ID  -0.7673660804    4.990916516     -0.0323602     -0.0323602 
109          NO_ID  -0.6843302793    4.807231636     -0.0274549     -0.0274549 
110          NO_ID  -0.5471537796    3.940939561     -0.0200988     -0.0200988 
111          NO_ID -0.02390705004    4.640467696   -0.000570029   -0.000570029 
112          NO_ID  0.01108802902    3.463169086    0.000254828    0.000254828 
113          NO_ID  0.01277877298    2.441684727    0.000293154    0.000293154 
114          NO_ID   0.1738638762    3.417496859     0.00329977     0.00329977 
115          NO_ID   0.1868254371    2.863510816     0.00348619     0.00348619 
116          NO_ID   0.1955222367      2.8754444     0.00360677     0.00360677 
117          NO_ID   0.4035204493     3.99605465     0.00538025     0.00538025 
118          NO_ID   0.5736007502    4.007981978     0.00525005     0.00525005 
119          NO_ID    1.014016875      4.8958388    -0.00170076    -0.00170076 
120          NO_ID    1.023882931    3.699993774     -0.0019653     -0.0019653 
121          NO_ID    1.146260219    3.695966892    -0.00565154    -0.00565154 
122          NO_ID    1.181713393     3.90388969    -0.00685748    -0.00685748 
123          NO_ID    1.181713393    4.990916516    -0.00685748    -0.00685748 
124          NO_ID    1.598645434    4.640467696     -0.0257025     -0.0257025 
125          NO_ID    1.631027138     3.14657753     -0.0275256     -0.0275256 
126          NO_ID    1.631027138    4.559533747     -0.0275256     -0.0275256 
127          NO_ID    1.732915816      3.8668273     -0.0336047     -0.0336047 
128          NO_ID    1.779894341    4.653492561     -0.0365812     -0.0365812 
129          NO_ID    1.843004433    4.640467696     -0.0407556     -0.0407556 
130          NO_ID    2.069243841    2.570987887     -0.0573427     -0.0573427 
131          NO_ID    2.069243841    4.657789364     -0.0573427     -0.0573427 
132          NO_ID    2.273457315    2.547834426     -0.0745234     -0.0745234 
133          NO_ID    2.418144356     3.14657753     -0.0879678     -0.0879678 
134          NO_ID    2.505117391     4.99226498     -0.0965628     -0.0965628 
135          NO_ID    2.647481788    3.586116082      -0.111457      -0.111457 
136          NO_ID  -0.8357537723    3.511220674     -0.0366567     -0.0366567 
137          NO_ID  -0.8112099975     4.18267993     -0.0350882     -0.0350882 
138          NO_ID  -0.7673660804    3.724720926     -0.0323602     -0.0323602 
139          NO_ID  -0.6843302793    2.087461708     -0.0274549     -0.0274549 
140          NO_ID  -0.1628963552    3.117386459    -0.00444142    -0.00444142 
