%eval_id             x1             x2       cd       cl 
1	4.088858796772016e+00	1.818747137868193e+00	0.00536087	0.459101
2	5.588850819761330e+00	1.664089739259374e+00	0.00722564	0.633367
3	5.932302448066093e+00	2.849390497361026e+00	0.00572255	0.710712
4	1.335333437889504e+00	5.344111977025919e+00	0.00361281	0.183999
5	7.682108163909105e+00	2.779316334323640e+00	0.00715367	0.894584
6	2.146245993015471e+00	4.802561661695392e+00	0.00462443	0.273064
7	6.825059586793678e+00	1.239523884206789e+00	0.0101911	0.736417
8	5.263023695472174e+00	4.045016925337267e+00	0.00470592	0.675829
9	7.774453208974773e+00	5.772934402792218e+00	0.00658174	1.15936
10	7.280687908791326e+00	4.633646626693032e+00	0.0060162	0.968376
11	3.491042868053095e+00	5.838895149267695e+00	0.00428359	0.542892
12	7.081756767836286e+00	3.844874318803137e+00	0.0057519	0.896053
13	3.058973269881203e+00	4.523073177190066e+00	0.00387532	0.413578
14	6.087105277370244e+00	5.160756847709770e+00	0.00510095	0.848012
15	2.589086917652323e+00	2.135062084037374e+00	0.0040304	0.291842
16	1.103222997907187e+00	3.562763315235620e+00	0.00345495	0.132281
17	4.587868641329868e+00	4.277750585543807e+00	0.00437556	0.604094
18	3.916829956619456e+00	2.470695192772288e+00	0.00529944	0.465991
19	6.323586326373548e+00	3.737012129061395e+00	0.00560221	0.796447
20	1.929725634963124e+00	2.389975897218090e+00	0.00368261	0.219928
21	3.589146696305436e+00	3.083449969013897e+00	0.00464001	0.442736
22	2.945966256105325e+00	1.073730712790848e+00	0.00527765	0.320288
23	1.583221687573577e+00	1.416586919695412e+00	0.00387636	0.165483
24	4.982824046324391e+00	3.206327711980011e+00	0.00493871	0.600111
25	4.831816980685954e+00	5.486205649136662e+00	0.00491248	0.704569



