%eval_id             x1             x2       cd       cl 
1	1.335333437889504e+00	5.344111977025919e+00	0.00356228	0.18442
2	4.088858796772016e+00	1.818747137868193e+00	0.00529162	0.45843
3	5.588850819761330e+00	1.664089739259374e+00	0.00717633	0.63342
4	5.932302448066093e+00	2.849390497361026e+00	0.00554592	0.70972
5	2.146245993015471e+00	4.802561661695392e+00	0.00357668	0.291441
6	7.682108163909105e+00	2.779316334323640e+00	0.00708576	0.894813
7	5.263023695472174e+00	4.045016925337267e+00	0.00456931	0.676274
8	6.825059586793678e+00	1.239523884206789e+00	0.0102657	0.738155
9	7.280687908791326e+00	4.633646626693032e+00	0.00579698	0.971955
10	7.081756767836286e+00	3.844874318803137e+00	0.00566929	0.896462
11	3.491042868053095e+00	5.838895149267695e+00	0.00423188	0.54328
12	3.058973269881203e+00	4.523073177190066e+00	0.00380588	0.413405
13	2.589086917652323e+00	2.135062084037374e+00	0.00397701	0.292549
14	6.087105277370244e+00	5.160756847709770e+00	0.00501133	0.848551
15	1.103222997907187e+00	3.562763315235620e+00	0.00340372	0.132702
16	4.587868641329868e+00	4.277750585543807e+00	0.00432579	0.604516
17	3.916829956619456e+00	2.470695192772288e+00	0.0047094	0.458292
18	1.929725634963124e+00	2.389975897218090e+00	0.00361651	0.220205
19	6.323586326373548e+00	3.737012129061395e+00	0.00546665	0.796909
20	2.945966256105325e+00	1.073730712790848e+00	0.00522821	0.321012
21	3.589146696305436e+00	3.083449969013897e+00	0.00406344	0.434158
22	1.583221687573577e+00	1.416586919695412e+00	0.00382636	0.165915
23	4.982824046324391e+00	3.206327711980011e+00	0.00488966	0.600513
24	4.831816980685954e+00	5.486205649136662e+00	0.00484994	0.704765


