-1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 -1.000000000000000e+00 0.0118514	2.00942	-0.00415575
-1.200000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 -1.000000000000000e+00 0.00250796	1.92632	-0.00135759
-1.000000000000000e+00 1.200000000000000e+00 1.000000000000000e+00 -1.000000000000000e+00 -0.00112924	1.97421	-0.00102877
-1.000000000000000e+00 1.000000000000000e+00 1.200000000000000e+00 -1.000000000000000e+00 0.0906129	2.19845	-0.322267
-1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 -1.200000000000000e+00 -0.0880769	2.21675	0.323892
-1.038447207006769e+00 1.016290326819595e+00 9.125430139531951e-01 -9.040763004968307e-01 0.000444858	1.80168	-0.0108646
-1.192236035033843e+00 1.081451634097974e+00 5.627150697659760e-01 -5.203815024841538e-01 -0.0153326	1.12235	-0.00564215
-1.233597916140213e+00 1.098976926922947e+00 4.686279893142672e-01 -4.171858489368184e-01 -0.015457	0.987929	0.00673311
-1.480317499368256e+00 1.098976926922947e+00 4.686279893142672e-01 -4.171858489368184e-01 -0.0162831	0.990637	0.0171578
-1.233597916140213e+00 1.098976926922947e+00 4.686279893142672e-01 -5.006230187241820e-01 0.0149921	1.04292	-0.00221267
-1.233597916140213e+00 1.098976926922947e+00 5.623535871771206e-01 -4.171858489368184e-01 -0.0530275	1.0522	0.00396296
-1.233597916140213e+00 1.318772312307536e+00 4.686279893142672e-01 -4.171858489368184e-01 -0.0166301	0.990618	0.00462946
-1.255590895267051e+00 1.107266971266470e+00 3.222098686717237e-01 -2.692131680380858e-01 -0.0179387	0.812951	0.023194
-1.266437299574658e+00 1.111355420228263e+00 2.500000000000000e-01 -1.962366279226291e-01 -0.0112329	0.735294	0.0307603
-1.288430278701496e+00 1.119645464571786e+00 2.500000000000000e-01 -4.826394702389658e-02 0.0458918	0.671035	0.118779
-1.295603683772137e+00 1.122349411398940e+00 2.500000000000000e-01 0.000000000000000e+00 0.101624	0.656569	0.140583
-1.295603683772137e+00 1.122349411398940e+00 3.000000000000000e-01 0.000000000000000e+00 0.0761455	0.686473	0.167975
-1.036482947017709e+00 1.122349411398940e+00 2.500000000000000e-01 0.000000000000000e+00 0.118467	0.63813	0.0981282
-1.295603683772137e+00 1.122349411398940e+00 2.500000000000000e-01 -2.000000000000000e-03 0.107994	0.658593	0.137128
-1.295603683772137e+00 1.346819293678728e+00 2.500000000000000e-01 0.000000000000000e+00 0.150204	0.672861	0.145093
-9.941744038302751e-01 8.149050274691403e-01 2.500000000000000e-01 -5.590086130678697e-16 0.036527	0.612388	0.100776
-6.854304467386112e-01 4.999999999999999e-01 2.500000000000000e-01 -1.131582489368756e-15 -0.0498337	0.563522	0.0611721
-5.000000000000000e-01 4.999999999999999e-01 2.500000000000000e-01 -1.475468182463665e-15 -0.0155087	0.552634	0.0124779
-5.000000000000000e-01 4.999999999999999e-01 2.500000000000000e-01 -2.000000000001475e-03 -0.0184487	0.554029	0.0138324
-6.000000000000000e-01 4.999999999999999e-01 2.500000000000000e-01 -1.475468182463665e-15 -0.0351214	0.560237	0.0386621
-5.000000000000000e-01 6.000000000000000e-01 2.500000000000000e-01 -1.475468182463665e-15 0.0179815	0.561038	0.00542804
-5.000000000000000e-01 4.999999999999999e-01 3.000000000000000e-01 -1.475468182463665e-15 -0.0384422	0.593374	0.0059942
