%eval_id interface             x1             x2             x3             x4         obj_fn 
1            NO_ID           -0.9            0.9              1             -1        2.03427 
2            NO_ID  -0.9172907814   0.8960167644   0.9231925292  -0.9162794668        1.87506 
3            NO_ID  -0.9397744281    0.890837261   0.8233178034  -0.8074155086        1.63415 
4            NO_ID  -0.9397744281    0.890837261   0.8233178034  -0.8074155086        1.63415 
5            NO_ID  -0.9630575923   0.8934784099   0.7170947975  -0.7040906368        1.43301 
6            NO_ID   -1.008143607   0.8985927867   0.5114023056  -0.5040101536        1.08629 
7            NO_ID   -1.065440732   0.9050923429           0.25  -0.2497398148       0.743281 
8            NO_ID     -1.0501233   0.8947165718           0.25 -0.03838520723       0.635323 
9            NO_ID   -1.047341422   0.8928321742           0.25              0       0.622364 
10           NO_ID    -1.03202399   0.8824564031           0.25              0       0.618306 
11           NO_ID  -0.9707542628   0.8409533186           0.25              0       0.611877 
12           NO_ID  -0.9912306057   0.8548236495           0.25              0       0.614716 
13           NO_ID  -0.5571459739            0.5           0.25              0       0.556816 
14           NO_ID           -0.5            0.5           0.25              0       0.552634 
