-9.000000000000000e-01 9.000000000000000e-01 1.000000000000000e+00 -1.000000000000000e+00 -0.00884108	2.03427	0.00334994
-1.080000000000000e+00 9.000000000000000e-01 1.000000000000000e+00 -1.000000000000000e+00 0.00446354	1.98639	-0.000403588
-9.000000000000000e-01 1.080000000000000e+00 1.000000000000000e+00 -1.000000000000000e+00 -0.00801351	2.0453	0.00296999
-9.000000000000000e-01 9.000000000000000e-01 1.000000000000000e+00 -1.200000000000000e+00 -0.105933	2.29186	0.334646
-9.000000000000000e-01 9.000000000000000e-01 1.200000000000000e+00 -1.000000000000000e+00 0.100546	2.27059	-0.330005
-9.172907813515534e-01 8.960167644463735e-01 9.231925291541521e-01 -9.162794667604013e-01 0.00155161	1.87506	-0.00863266
-9.397744281385263e-01 8.908372610198839e-01 8.233178034267560e-01 -8.074155085676121e-01 0.00441274	1.63415	-0.0173547
-1.127729313766232e+00 8.908372610198839e-01 8.233178034267560e-01 -8.074155085676121e-01 0.00951899	1.5858	-0.0189073
-9.397744281385263e-01 1.069004713223861e+00 8.233178034267560e-01 -8.074155085676121e-01 0.0157357	1.61529	-0.0234935
-9.397744281385263e-01 8.908372610198839e-01 8.233178034267560e-01 -9.688986102811346e-01 -0.0693102	1.80394	0.195043
-9.397744281385263e-01 8.908372610198839e-01 9.879813641121071e-01 -8.074155085676121e-01 0.0729601	1.83181	-0.239633
-9.630575922637807e-01 8.934784098614532e-01 7.170947974734334e-01 -7.040906367616687e-01 0.0011185	1.43301	-0.0100678
-1.008143607334297e+00 8.985927867491420e-01 5.114023056160941e-01 -5.040101536133771e-01 -4.16267e-05	1.08629	-0.00174479
-1.065440731716692e+00 9.050923429466465e-01 2.499999999999999e-01 -2.497398147620207e-01 0.00781815	0.743281	-0.00440734
-1.065440731716692e+00 9.050923429466465e-01 2.499999999999999e-01 -2.996877777144248e-01 0.0169831	0.769906	-0.0171181
-1.065440731716692e+00 1.086110811535976e+00 2.499999999999999e-01 -2.497398147620207e-01 0.00376698	0.748018	-0.00239834
-1.278528878060031e+00 9.050923429466465e-01 2.499999999999999e-01 -2.497398147620207e-01 -0.00305676	0.751513	0.00225312
-1.065440731716692e+00 9.050923429466465e-01 2.999999999999999e-01 -2.497398147620207e-01 -0.0189679	0.770879	0.0171608
-1.050123299941265e+00 8.947165718364808e-01 2.499999999999999e-01 -3.838520723155275e-02 0.0136932	0.635323	0.0947002
-1.047341421657063e+00 8.928321741935600e-01 2.499999999999999e-01 0.000000000000000e+00 0.0570864	0.622364	0.103605
-1.032023989881636e+00 8.824564030833942e-01 2.499999999999999e-01 0.000000000000000e+00 0.053528	0.618306	0.102654
-9.707542627799256e-01 8.409533186427315e-01 2.499999999999999e-01 0.000000000000000e+00 0.0425444	0.611877	0.0936832
-9.912306056840248e-01 8.548236495350829e-01 2.499999999999999e-01 0.000000000000000e+00 0.0462077	0.614716	0.0968809
-9.707542627799256e-01 8.409533186427315e-01 2.999999999999999e-01 0.000000000000000e+00 0.0050671	0.646947	0.112665
-9.707542627799256e-01 1.009143982371278e+00 2.499999999999999e-01 0.000000000000000e+00 0.0850062	0.623842	0.0896481
-9.707542627799256e-01 8.409533186427315e-01 2.499999999999999e-01 -2.000000000000000e-03 0.0345153	0.612613	0.0960594
-1.164905115335911e+00 8.409533186427315e-01 2.499999999999999e-01 0.000000000000000e+00 0.0277861	0.628632	0.13677
-5.571459738576722e-01 5.000000000000000e-01 2.499999999999999e-01 0.000000000000000e+00 -0.0286745	0.556816	0.0280859
-5.000000000000000e-01 5.000000000000000e-01 2.499999999999999e-01 0.000000000000000e+00 -0.0155087	0.552634	0.0124779
-5.000000000000000e-01 5.000000000000000e-01 2.999999999999999e-01 0.000000000000000e+00 -0.0384422	0.593374	0.0059942
-5.000000000000000e-01 5.000000000000000e-01 2.499999999999999e-01 -2.000000000000000e-03 -0.0184487	0.554029	0.0138324
-5.000000000000000e-01 6.000000000000000e-01 2.499999999999999e-01 0.000000000000000e+00 0.0179815	0.561038	0.00542804
-6.000000000000000e-01 5.000000000000000e-01 2.499999999999999e-01 0.000000000000000e+00 -0.0351214	0.560237	0.0386621
