%eval_id             x1             x2       cl       cm 
1	2.000000000000000e+00	1.000000000000000e+00		0.22182	-0.0279594
2	1.000000000000000e+00	1.000000000000000e+00		0.102228	-0.0116839
3	6.000000000000000e+00	1.000000000000000e+00		0.6581	-0.0885178
4	3.000000000000000e+00	1.000000000000000e+00		0.326371	-0.0406348
5	4.000000000000000e+00	1.000000000000000e+00		0.432367	-0.0540661
6	5.000000000000000e+00	1.000000000000000e+00		0.554295	-0.0720951
7	7.000000000000000e+00	1.000000000000000e+00		0.755995	-0.101354
8	8.000000000000000e+00	1.000000000000000e+00		0.848627	-0.109759
9	2.000000000000000e+00	2.000000000000000e+00		0.224147	-0.0363809
10	4.000000000000000e+00	2.000000000000000e+00		0.449084	-0.0727114
11	1.000000000000000e+00	2.000000000000000e+00		0.104693	-0.0160859
12	9.000000000000000e+00	1.000000000000000e+00		0.920945	-0.128633
13	3.000000000000000e+00	2.000000000000000e+00		0.341526	-0.0558606
14	5.000000000000000e+00	2.000000000000000e+00		0.573669	-0.0940773
15	7.000000000000000e+00	2.000000000000000e+00		0.794061	-0.129431
16	6.000000000000000e+00	2.000000000000000e+00		0.679554	-0.110045
17	2.000000000000000e+00	3.000000000000000e+00		0.230064	-0.0438535
18	1.000000000000000e+00	3.000000000000000e+00		0.122182	-0.0236387
19	8.000000000000000e+00	2.000000000000000e+00		0.904733	-0.147163
20	9.000000000000000e+00	2.000000000000000e+00		1.00325	-0.16274
21	3.000000000000000e+00	3.000000000000000e+00		0.353921	-0.0679246
22	4.000000000000000e+00	3.000000000000000e+00		0.478425	-0.0920978
23	5.000000000000000e+00	3.000000000000000e+00		0.602683	-0.11613
24	6.000000000000000e+00	3.000000000000000e+00		0.718827	-0.138447
25	7.000000000000000e+00	3.000000000000000e+00		0.833834	-0.16048
26	3.000000000000000e+00	4.000000000000000e+00		0.378654	-0.0818134
27	8.000000000000000e+00	3.000000000000000e+00		0.953684	-0.183337
28	1.000000000000000e+00	4.000000000000000e+00		0.125163	-0.0270807
29	2.000000000000000e+00	4.000000000000000e+00		0.252441	-0.0546058
30	4.000000000000000e+00	4.000000000000000e+00		0.52185	-0.113441
31	5.000000000000000e+00	4.000000000000000e+00		0.646308	-0.140232
32	1.000000000000000e+00	5.000000000000000e+00		0.142536	-0.0336018
33	6.000000000000000e+00	4.000000000000000e+00		0.770984	-0.166871
34	8.000000000000000e+00	4.000000000000000e+00		1.017	-0.22
35	7.000000000000000e+00	4.000000000000000e+00		0.891922	-0.192896
36	2.000000000000000e+00	5.000000000000000e+00		0.279442	-0.0658537
37	3.000000000000000e+00	5.000000000000000e+00		0.415716	-0.0979041
38	5.000000000000000e+00	5.000000000000000e+00		0.706423	-0.16641
39	4.000000000000000e+00	5.000000000000000e+00		0.56097	-0.13228
40	6.000000000000000e+00	5.000000000000000e+00		0.830914	-0.195856
41	8.000000000000000e+00	5.000000000000000e+00		1.09566	-0.257958
42	1.000000000000000e+00	6.000000000000000e+00		0.152547	-0.0382356
43	7.000000000000000e+00	5.000000000000000e+00		0.956022	-0.225242
44	2.000000000000000e+00	6.000000000000000e+00		0.308784	-0.0774585
45	3.000000000000000e+00	6.000000000000000e+00		0.469694	-0.117794
46	4.000000000000000e+00	6.000000000000000e+00		0.631926	-0.158607
47	5.000000000000000e+00	6.000000000000000e+00		0.765736	-0.192102
48	7.000000000000000e+00	6.000000000000000e+00		1.0697	-0.268762
49	8.000000000000000e+00	6.000000000000000e+00		1.22266	-0.307253
