%eval_id             x1             x2         obj_fn 
       1              4              1     0.00724285 
       2    3.973890823            1.1 0.006954638387 
       3    3.869454114            1.5  0.00584747361 
       4    3.681755136    2.218900396  0.00460899177 
       5    3.496767137    2.939295614 0.004062776464 
       6    3.317002751    3.639348616 0.003969518198 
       7    3.371832988    3.425824276 0.003936574437 
       8    2.230526682    3.739772136 0.003648915161 
       9    2.313374343    3.716982596 0.003663315157 
      10    1.096112713    4.051824069  0.00351734738 
      11    1.097383887              1 0.003481412002 
      12    1.096825215    2.341254173 0.003482353552 
      13    1.097127136     1.61640508 0.003231684915 
      14    1.097562409              1 0.003481577791 
      15    1.097244395      1.4503514 0.003175897372 
      16    1.097285626    1.391962159 0.003171359646 
      17    1.097291797    2.200164699  0.00347926503 
      18    1.097285688    1.400044184  0.00317139647 
      19    1.097285643    1.394208085 0.003171349705 
      20              1    1.393997554 0.003146685815 
      21    1.007324108    1.394013404  0.00314648477 
      22    1.007981017    1.394014825 0.003146483433 
